model,src_group,target,hop,head,head_indeg,nbr_default,is_flip,clean_margin,margin_change
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,3.6250,-1.0000
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,4.3750,-1.1250
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,5.1250,-2.0000
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,4.5000,-4.3750
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,5.7500,-4.6250
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,4.5000,-3.2500
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,2.5000,-2.0000
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,4.2500,-0.8750
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,3.5000,-2.5000
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,3.1250,-1.2500
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,4.8750,-3.6250
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,1,4.8750,-1.1250
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,3.5000,-1.1250
Qwen3.5-2B,hub,hub_1,d1,Australia,1093,Hub,0,5.1250,-3.0000
Qwen3.5-2B,hub,hub_1,d2,Gold Coast,9,Hub,0,7.0000,-2.8750
Qwen3.5-2B,hub,hub_1,d2,Gold Coast,9,Hub,0,3.1250,1.5000
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,7.0000,0.5000
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,7.8750,0.5000
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,6.7500,-2.5000
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,7.1250,-0.8750
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,3.7500,-1.1250
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,4.3750,1.8750
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,5.0000,2.1250
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,6.6250,0.1250
Qwen3.5-2B,hub,hub_1,d2,Sydney,301,Hub,0,1.7500,1.0000
Qwen3.5-2B,hub,hub_1,d2,Melbourne,210,Hub,1,0.6250,3.1250
Qwen3.5-2B,hub,hub_1,d2,Melbourne,210,Hub,1,1.3750,1.0000
Qwen3.5-2B,hub,hub_1,d2,Melbourne,210,Hub,0,2.7500,3.8750
Qwen3.5-2B,hub,hub_1,d2,Melbourne,210,Hub,1,2.5000,1.5000
Qwen3.5-2B,hub,hub_1,d2,Geelong,10,Hub,0,3.6250,-3.1250
Qwen3.5-2B,hub,hub_1,d2,Geelong,10,Hub,1,2.1250,1.2500
Qwen3.5-2B,hub,hub_1,d2,Geelong,10,Hub,1,2.6250,-1.6250
Qwen3.5-2B,hub,hub_1,d2,Adelaide,60,Hub,0,6.5000,4.1250
Qwen3.5-2B,hub,hub_1,d2,Anthony Albanese,4,Mid,0,0.5000,1.8750
Qwen3.5-2B,hub,hub_1,d2,Anthony Albanese,4,Mid,0,3.1250,1.1250
Qwen3.5-2B,hub,hub_1,d2,Anthony Albanese,4,Mid,0,6.3750,-1.3750
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,3.1250,1.8750
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,4.1250,0.5000
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,4.5000,0.5000
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,3.1250,3.6250
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,1.8750,-0.3750
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,6.0000,-0.3750
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,6.5000,-0.6250
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,0.2500,4.3750
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,6.7500,-2.5000
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,6.7500,-0.2500
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,5.5000,0.1250
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,4.8750,-0.5000
Qwen3.5-2B,hub,hub_1,d2,Cairns,7,Mid,0,6.6250,-1.1250
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,0,0.6250,3.3750
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,1,1.8750,1.7500
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,0,0.2500,0.2500
Qwen3.5-2B,hub,hub_1,d2,Townsville,21,Hub,0,2.8750,1.5000
